dataset,contamination,precision,recall,f1,fpr,auc,n_train,n_test,anomaly_rate,threshold
PersonaChat,0.1,0.6047,1.0,0.7536,0.6071,0.8049,2920,54,0.4815,0.6
PersonaChat,0.5,0.6047,1.0,0.7536,0.6071,0.8049,2920,54,0.4815,0.6
PersonaChat,auto_fixed_threshold,0.6047,1.0,0.7536,0.6071,0.8049,2920,54,0.4815,0.6
PersonaChat,optimal_threshold,0.6774,0.8077,0.7368,0.3571,0.8049,2920,54,0.4815,0.7231
PersonaChat,max_f1_threshold,0.6875,0.8462,0.7586,0.3571,0.8049,2920,54,0.4815,0.69
BST,0.1,0.5977,1.0,0.7482,0.6364,0.7923,3840,107,0.486,0.6
BST,0.5,0.5977,1.0,0.7482,0.6364,0.7923,3840,107,0.486,0.6
BST,auto_fixed_threshold,0.5977,1.0,0.7482,0.6364,0.7923,3840,107,0.486,0.6
BST,optimal_threshold,0.6375,0.9808,0.7727,0.5273,0.7923,3840,107,0.486,0.6558
BST,max_f1_threshold,0.6456,0.9808,0.7786,0.5091,0.7923,3840,107,0.486,0.66
AnthropicHH,0.1,0.5417,0.4561,0.4952,0.3438,0.511,4000,121,0.4711,0.6
AnthropicHH,0.5,0.5417,0.4561,0.4952,0.3438,0.511,4000,121,0.4711,0.6
AnthropicHH,auto_fixed_threshold,0.5417,0.4561,0.4952,0.3438,0.511,4000,121,0.4711,0.6
AnthropicHH,optimal_threshold,0.55,0.5789,0.5641,0.4219,0.511,4000,121,0.4711,0.5182
AnthropicHH,max_f1_threshold,0.5484,0.5965,0.5714,0.4375,0.511,4000,121,0.4711,0.51
PersonaChat,native_0.1_threshold,0.6897,0.7692,0.7273,0.3214,0.8049,2920,54,0.4815,sklearn_native_c0.1
BST,native_0.1_threshold,0.6735,0.6346,0.6535,0.2909,0.7923,3840,107,0.486,sklearn_native_c0.1
AnthropicHH,native_0.1_threshold,0.5217,0.2105,0.3,0.1719,0.511,4000,121,0.4711,sklearn_native_c0.1
